iter	Passed	Remaining
559	454680	357248
560	454933	355999
561	455197	354762
562	455431	353505
563	455714	352289
564	455972	351058
565	456211	349815
566	456487	348605
567	456750	347388
568	457036	346191
569	458026	345529
570	458437	344430
571	458813	343307
572	459146	342156
573	459514	341033
574	459842	339883
575	460173	338738
576	460407	337526
577	460656	336327
578	460953	335166
579	461212	333981
580	461446	332781
581	461685	331588
582	461943	330412
583	462229	329259
584	462518	328111
585	462929	327052
586	463379	326023
587	463736	324930
588	464074	323828
589	464397	322716
590	465271	321990
591	465896	321090
592	466342	320070
593	467175	319315
594	467948	318519
595	468609	317648
596	468979	316581
597	469350	315516
598	469647	314404
599	470008	313338
600	470358	312268
601	470714	311203
602	471046	310125
603	471352	309032
604	471637	307928
605	472028	306896
606	472377	305838
607	472713	304775
608	473048	303714
609	473382	302654
610	473713	301594
611	474029	300528
612	474355	299470
613	474681	298415
614	475054	297392
615	475352	296323
616	475662	295265
617	476075	294273
618	476453	293261
619	476808	292237
620	477133	291197
621	477458	290159
622	477745	289101
623	478046	288053
624	478324	286994
625	478623	285950
626	478919	284907
627	479243	283883
628	479534	282841
629	479860	281822
630	480162	280792
631	480481	279774
632	480765	278737
633	481100	277732
634	481430	276728
635	481701	275690
636	481972	274656
637	482240	273622
638	482486	272578
639	482750	271547
640	483005	270513
641	483254	269478
642	483494	268440
643	483725	267400
644	484000	266388
645	484266	265371
646	484512	264347
647	484736	263313
648	485001	262304
649	485259	261293
650	485501	260276
651	485742	259261
652	485992	258253
653	486278	257266
654	486547	256273
655	486812	255279
656	487078	254288
657	487322	253289
658	487545	252280
659	487780	251280
660	488108	250331
661	488359	249343
662	488593	248349
663	488838	247364
664	489105	246391
665	489348	245409
666	489612	244439
667	489820	243443
668	490073	242472
669	490331	241506
670	490561	240528
671	490780	239547
672	491063	238599
673	491375	237668
674	491638	236714
675	491910	235767
676	492172	234818
677	492417	233862
678	492663	232908
679	492907	231956
680	493121	230992
681	493350	230037
682	493607	229097
683	493836	228146
684	494073	227201
685	494308	226257
686	494535	225312
687	494782	224378
688	495021	223442
689	495261	222508
690	495504	221578
691	495726	220641
692	495971	219715
693	496223	218796
694	496450	217866
695	496674	216938
696	496930	216025
697	497170	215107
698	497396	214186
699	497634	213271
700	497866	212356
701	498113	211450
702	498358	210544
703	498593	209635
704	498810	208722
705	499056	207822
706	499294	206921
707	499523	206018
708	499783	205129
709	500037	204240
710	500275	203347
711	500515	202455
712	500743	201561
713	500991	200677
714	501235	199793
715	501478	198910
716	501719	198028
717	501961	197149
718	502207	196273
719	502442	195394
720	502691	194522
721	502911	193641
722	503128	192761
723	503384	191897
724	503606	191023
725	503857	190161
726	504102	189298
727	504333	188432
728	504564	187567
729	504814	186712
730	505070	185860
731	505317	185006
732	505564	184155
733	505803	183302
734	506049	182453
735	506307	181610
736	506544	180761
737	506794	179919
738	507064	179085
739	507304	178242
740	507561	177406
741	507795	176564
742	508043	175729
743	508302	174899
744	508520	174057
745	508772	173228
746	509029	172402
747	509283	171576
748	509534	170751
749	509781	169927
750	510039	169107
751	510277	168283
752	510513	167459
753	510753	166638
754	510997	165820
755	511253	165007
756	511526	164202
757	511834	163408
758	512323	162674
759	512702	161906
760	513019	161119
761	513327	160330
762	513671	159554
763	513960	158762
764	514299	157987
765	514586	157197
766	514903	156418
767	515199	155633
768	515515	154855
769	515854	154086
770	516195	153318
771	516602	152571
772	516936	151804
773	517330	151055
774	517706	150301
775	518047	149539
776	518377	148774
777	518698	148009
778	519031	147247
779	519339	146480
780	519661	145718
781	519992	144959
782	520306	144197
783	520606	143432
784	520911	142670
785	521229	141912
786	521549	141156
787	521873	140402
788	522169	139642
789	522488	138889
790	522803	138136
791	523108	137381
792	523406	136626
793	523692	135869
794	524001	135120
795	524262	134358
796	524509	133595
797	524788	132841
798	525070	132089
799	525329	131332
800	525599	130579
801	525886	129832
802	526164	129083
803	526457	128340
804	526745	127596
805	527061	126861
806	527356	126121
807	527635	125378
808	527913	124637
809	528211	123901
810	528467	123157
811	528719	122412
812	529027	121682
813	529303	120946
814	529584	120212
815	529839	119473
816	530142	118746
817	530433	118018
818	530700	117285
819	530965	116553
820	531221	115820
821	531478	115088
822	531778	114367
823	532048	113641
824	532309	112914
825	532572	112188
826	532823	111461
827	533057	110731
828	533345	110014
829	533576	109286
830	533829	108564
831	534089	107844
832	534342	107125
833	534600	106407
834	534871	105693
835	535142	104980
836	535406	104266
837	535684	103557
838	535923	102841
839	536198	102133
840	536471	101425
841	536710	100712
842	536988	100008
843	537256	99303
844	537512	98597
845	537782	97894
846	538014	97185
847	538267	96481
848	538542	95783
849	538858	95092
850	539142	94397
851	539402	93698
852	539677	93004
853	539937	92307
854	540182	91609
855	540435	90914
856	540679	90218
857	540951	89528
858	541221	88838
859	541485	88148
860	541760	87461
861	542073	86782
862	542343	86096
863	542651	85417
864	542925	84734
865	543184	84049
866	543448	83366
867	543737	82688
868	544024	82010
869	544288	81330
870	544552	80651
871	544855	79978
872	545147	79305
873	545420	78630
874	545680	77954
875	545962	77282
876	546273	76615
877	546534	75942
878	546792	75269
879	547098	74604
880	547387	73937
881	547636	73266
882	547942	72603
883	548216	71937
884	548474	71270
885	548742	70605
886	549045	69946
887	549357	69288
888	549664	68630
889	549969	67973
890	550253	67314
891	550528	66655
892	550774	65994
893	551039	65335
894	551308	64678
895	551579	64022
896	551851	63367
897	552161	62717
898	552464	62067
899	552793	61421
900	553170	60781
901	553547	60141
902	553890	59498
903	554601	58895
904	555354	58296
905	556027	57689
906	556886	57100
907	557506	56487
908	558161	55877
909	558746	55260
910	559259	54636
911	559746	54010
912	560231	53384
913	560657	52753
914	561076	52121
915	561500	51491
916	561886	50857
917	562297	50227
918	562656	49592
919	563094	48964
920	563514	48336
921	563906	47705
922	564348	47080
923	564742	46450
924	565129	45821
925	565550	45195
926	565882	44562
927	566277	43935
928	566664	43308
929	567168	42690
930	567608	42067
931	568007	41442
932	568434	40820
933	568831	40195
934	569237	39572
935	569718	38955
936	570324	38346
937	570885	37734
938	571466	37124
939	572009	36511
940	572555	35898
941	573044	35282
942	573512	34666
943	573960	34048
944	574457	33434
945	574891	32816
946	575369	32201
947	575774	31582
948	576214	30966
949	576650	30350
950	577071	29733
951	577471	29116
952	577894	28500
953	578322	27885
954	578724	27269
955	579161	26655
956	579620	26043
957	580050	25430
958	580510	24818
959	580870	24202
960	581259	23589
961	581655	22976
962	582084	22364
963	582487	21752
964	582894	21141
965	583286	20529
966	583641	19917
967	584044	19307
968	584488	18698
969	584828	18087
970	585199	17477
971	585584	16868
972	586069	16262
973	586579	15658
974	587025	15051
975	587519	14447
976	587948	13841
977	588301	13233
978	588787	12629
979	589211	12024
980	589713	11421
981	590191	10818
982	590594	10213
983	591026	9610
984	591498	9007
985	591905	8404
986	592304	7801
987	592720	7199
988	593120	6596
989	593494	5994
990	593861	5393
991	594235	4792
992	594608	4191
993	595053	3591
994	595401	2991
995	595798	2392
996	596188	1793
997	596571	1195
998	596946	597
999	597313	0
